A1BG	A1bg
SCLY	Scly
SCMH1	Scmh1
SCML2	Scml2
SCML4	Scml4
SCN10A	Scn10a
SCN11A	Scn11a
SCN1A	Scn1a
SCN1B	Scn1b
SCN2A	Scn2a1
SCN2B	Scn2b
SCN3A	Scn3a
SCN3B	Scn3b
SCN4A	Scn4a
SCN4B	Scn4b
SCN5A	Scn5a
SCN7A	Scn7a
SCN8A	Scn8a
SCN9A	Scn9a
SCNN1A	Scnn1a
SCNN1B	Scnn1b
SCNN1G	Scnn1g
SCO1	Sco1
SCOC	Scoc
SCP2	Scp2
SCPEP1	Scpep1
SCRG1	Scrg1
SCRIB	Scrib
SCRN1	Scrn1
SCRN2	Scrn2
SCRN3	Scrn3
SCRT1	Scrt1
SCRT2	Scrt2
SCT	Sct
SCTR	Sctr
SCUBE1	Scube1
SCUBE2	Scube2
SCUBE3	Scube3
SCYL1	Scyl1
SCYL2	Scyl2
SCYL3	Scyl3
SDAD1	Sdad1
SDC1	Sdc1
SDC2	Sdc2
SDC3	Sdc3
SDC4	Sdc4
SDCBP	Sdcbp
SDCBP2	Sdcbp2
SDCCAG3	Sdccag3
SDCCAG8	Sdccag8
SDF2	Sdf2
SDF2L1	Sdf2l1
SDF4	Sdf4
SDHA	Sdha
SDHAF2	Sdhaf2
SDHB	Sdhb
SDHC	Sdhc
SDHD	Sdhd
SDK1	Sdk1
SDK2	Sdk2
SDPR	Sdpr
SDR16C5	Sdr16c5
SDR39U1	Sdr39u1
SDR42E1	Sdr42e1
SDR9C7	Sdr9c7
SDS	Sds
SDSL	Sdsl
SEC11A	Sec11a
SEC11C	Sec11c
SEC13	Sec13
SEC14L1	Sec14l1
SEC14L3	Sec14l3
SEC14L4	Sec14l4
SEC14L5	Sec14l5
SEC16A	Sec16a
SEC16B	Sec16b
SEC22A	Sec22a
SEC22C	Sec22c
SEC23A	Sec23a
SEC23B	Sec23b
SEC23IP	Sec23ip
SEC24A	Sec24a
SEC24B	Sec24b
SEC24C	Sec24c
SEC24D	Sec24d
SEC31A	Sec31a
SEC31B	Sec31b
SEC61A1	Sec61a1
SEC61A2	Sec61a2
SEC61G	Sec61g
SEC62	Sec62
SEC63	Sec63
SECISBP2	Secisbp2
SECISBP2L	Secisbp2l
SEH1L	Seh1l
SEL1L	Sel1l
SEL1L2	Sel1l2
SEL1L3	Sel1l3
SELE	Sele
SELL	Sell
SELP	Selp
SELPLG	Selplg
SEMA3A	Sema3a
SEMA3C	Sema3c
SEMA3D	Sema3d
SEMA3E	Sema3e
SEMA3F	Sema3f
SEMA3G	Sema3g
SEMA4A	Sema4a
SEMA4B	Sema4b
SEMA4C	Sema4c
SEMA4D	Sema4d
SEMA4F	Sema4f
SEMA4G	Sema4g
SEMA5A	Sema5a
SEMA5B	Sema5b
SEMA6A	Sema6a
SEMA6B	Sema6b
SEMA6C	Sema6c
SEMA6D	Sema6d
SEMA7A	Sema7a
SENP1	Senp1
SENP2	Senp2
SENP3	Senp3
SENP5	Senp5
SENP6	Senp6
SENP7	Senp7
SENP8	Senp8
SEPHS1	Sephs1
SEPHS2	Sephs2
SEPP1	Sepp1
SEPSECS	Sepsecs
SEPT1	Sept1
SEPT10	Sept10
SEPT11	Sept11
SEPT12	Sept12
SEPT14	Sept14
SEPT2	Sept2
SEPT3	Sept3
SEPT4	Sept4
SEPT6	Sept6
SEPT8	Sept8
SEPT9	Sept9
SEPW1	Sepw1
SERAC1	Serac1
SERBP1	Serbp1
SERGEF	Sergef
SERHL2	Serhl
SERINC1	Serinc1
SERINC2	Serinc2
SERINC3	Serinc3
SERINC4	Serinc4
SERINC5	Serinc5
SERP1	Serp1
SERP2	Serp2
SERPINA10	Serpina10
SERPINA11	Serpina11
SERPINA12	Serpina12
SERPINA5	Serpina5
SERPINA6	Serpina6
SERPINA7	Serpina7
SERPINA9	Serpina9
SERPINB12	Serpinb12
SERPINB13	Serpinb13
SERPINB2	Serpinb2
SERPINB5	Serpinb5
SERPINB7	Serpinb7
SERPINB8	Serpinb8
SERPINC1	Serpinc1
SERPIND1	Serpind1
SERPINE1	Serpine1
SERPINE2	Serpine2
SERPINF1	Serpinf1
SERPINF2	Serpinf2
SERPING1	Serping1
SERPINH1	Serpinh1
SERPINI1	Serpini1
SERPINI2	Serpini2
SERTAD1	Sertad1
SERTAD2	Sertad2
SERTAD3	Sertad3
SERTAD4	Sertad4
SESN1	Sesn1
SESN2	Sesn2
SESN3	Sesn3
SESTD1	Sestd1
SET	Set
SETBP1	Setbp1
SETD1A	Setd1a
SETD2	Setd2
SETD3	Setd3
SETD4	Setd4
SETD5	Setd5
SETD6	Setd6
SETD7	Setd7
SETDB1	Setdb1
SETDB2	Setdb2
SETX	Setx
SEZ6	Sez6
SEZ6L	Sez6l
SEZ6L2	Sez6l2
SF3A1	Sf3a1
SF3A2	Sf3a2
SF3A3	Sf3a3
SF3B1	Sf3b1
SF3B2	Sf3b2
SF3B3	Sf3b3
SF3B5	Sf3b5
SFI1	Sfi1
SFMBT1	Sfmbt1
SFMBT2	Sfmbt2
SFN	Sfn
SFPQ	Sfpq
SFRP1	Sfrp1
SFRP2	Sfrp2
SFRP4	Sfrp4
SFRP5	Sfrp5
SFSWAP	Sfswap
SFT2D2	Sft2d2
SFT2D3	Sft2d3
SFTPB	Sftpb
SFTPC	Sftpc
SFTPD	Sftpd
SFXN1	Sfxn1
SFXN2	Sfxn2
SFXN3	Sfxn3
SFXN4	Sfxn4
SFXN5	Sfxn5
SGCA	Sgca
SGCB	Sgcb
SGCD	Sgcd
SGCE	Sgce
SGCG	Sgcg
SGCZ	Sgcz
SGIP1	Sgip1
SGK1	Sgk1
SGK2	Sgk2
SGK3	Sgk3
SGMS1	Sgms1
SGMS2	Sgms2
SGOL1	Sgol1
SGOL2	Sgol2
SGPL1	Sgpl1
SGPP1	Sgpp1
SGPP2	Sgpp2
SGSH	Sgsh
SGSM1	Sgsm1
SGSM2	Sgsm2
SGSM3	Sgsm3
SGTA	Sgta
SGTB	Sgtb
SH2B1	Sh2b1
SH2B2	Sh2b2
SH2B3	Sh2b3
SH2D1A	Sh2d1a
SH2D2A	Sh2d2a
SH2D3C	Sh2d3c
SH2D4A	Sh2d4a
SH2D4B	Sh2d4b
SH2D5	Sh2d5
SH2D6	Sh2d6
SH2D7	Sh2d7
SH3BGR	Sh3bgr
SH3BGRL	Sh3bgrl
SH3BGRL2	Sh3bgrl2
SH3BP1	Sh3bp1
SH3BP2	Sh3bp2
SH3BP4	Sh3bp4
SH3BP5	Sh3bp5
SH3BP5L	Sh3bp5l
SH3D19	Sh3d19
SH3GL1	Sh3gl1
SH3GL2	Sh3gl2
SH3GL3	Sh3gl3
SH3GLB1	Sh3glb1
SH3GLB2	Sh3glb2
SH3KBP1	Sh3kbp1
SH3PXD2A	Sh3pxd2a
SH3PXD2B	Sh3pxd2b
SH3RF1	Sh3rf1
SH3RF2	Sh3rf2
SH3RF3	Sh3rf3
SH3TC1	Sh3tc1
SH3TC2	Sh3tc2
SH3YL1	Sh3yl1
SHANK1	Shank1
SHANK2	Shank2
SHANK3	Shank3
SHARPIN	Sharpin
SHB	Shb
SHBG	Shbg
SHC1	Shc1
SHC2	Shc2
SHC3	Shc3
SHC4	Shc4
SHCBP1	Shcbp1
SHD	Shd
SHE	She
SHF	Shf
SHFM1	Shfm1
SHH	Shh
SHISA2	Shisa2
SHISA3	Shisa3
SHISA4	Shisa4
SHISA5	Shisa5
SHISA6	Shisa6
SHISA7	Shisa7
SHISA9	Shisa9
SHKBP1	Shkbp1
SHMT1	Shmt1
SHMT2	Shmt2
SHOC2	Shoc2
SHOX	Shox2
SHPK	Shpk
SHPRH	Shprh
SHQ1	Shq1
SHROOM1	Shroom1
SHROOM2	Shroom2
SHROOM3	Shroom3
SHROOM4	Shroom4
SI	Sis
SIAE	Siae
SIAH2	Siah2
SIAH3	Siah3
SIDT1	Sidt1
SIDT2	Sidt2
SIGIRR	Sigirr
SIGLEC1	Siglec1
SIGLEC15	Siglec15
SIGMAR1	Sigmar1
SIK1	Sik1
SIK2	Sik2
SIK3	Sik3
SIKE1	Sike1
SIL1	Sil1
SIM1	Sim1
SIM2	Sim2
SIN3A	Sin3a
SIN3B	Sin3b
SIPA1	Sipa1
SIPA1L1	Sipa1l1
SIPA1L2	Sipa1l2
SIPA1L3	Sipa1l3
SIRPA	Sirpa
SIRPB1	F830045P16Rik
SIRT1	Sirt1
SIRT2	Sirt2
SIRT3	Sirt3
SIRT4	Sirt4
SIRT5	Sirt5
SIRT6	Sirt6
SIRT7	Sirt7
SIT1	Sit1
SIX1	Six1
SIX2	Six2
SIX3	Six3
SIX4	Six4
SIX5	Six5
SIX6	Six6
SKA1	Ska1
SKA3	F630043A04Rik
SKAP1	Skap1
SKAP2	Skap2
SKI	Ski
SKIL	Skil
SKIV2L	Skiv2l
SKIV2L2	Skiv2l2
SKOR1	Skor1
SKOR2	Skor2
SKP1	Skp1a
SKP2	Skp2
SLA	Sla
SLA2	Sla2
SLAIN1	Slain1
SLAIN2	Slain2
SLAMF1	Slamf1
SLAMF6	Slamf6
SLAMF7	Slamf7
SLAMF8	Slamf8
SLAMF9	Slamf9
SLBP	Slbp
SLC10A1	Slc10a1
SLC10A2	Slc10a2
SLC10A3	Slc10a3
SLC10A5	Slc10a5
SLC10A6	Slc10a6
SLC10A7	Slc10a7
SLC11A1	Slc11a1
SLC11A2	Slc11a2
SLC12A1	Slc12a1
SLC12A2	Slc12a2
SLC12A3	Slc12a3
SLC12A4	Slc12a4
SLC12A5	Slc12a5
SLC12A6	Slc12a6
SLC12A7	Slc12a7
SLC12A8	Slc12a8
SLC12A9	Slc12a9
SLC13A1	Slc13a1
SLC13A2	Slc13a2
SLC13A3	Slc13a3
SLC13A4	Slc13a4
SLC13A5	Slc13a5
SLC14A1	Slc14a1
SLC14A2	Slc14a2
SLC15A1	Slc15a1
SLC15A2	Slc15a2
SLC15A3	Slc15a3
SLC15A4	Slc15a4
SLC15A5	Slc15a5
SLC16A1	Slc16a1
SLC16A10	Slc16a10
SLC16A11	Slc16a11
SLC16A12	Slc16a12
SLC16A13	Slc16a13
SLC16A14	Slc16a14
SLC16A2	Slc16a2
SLC16A3	Slc16a3
SLC16A4	Slc16a4
SLC16A5	Slc16a5
SLC16A7	Slc16a7
SLC16A8	Slc16a8
SLC16A9	Slc16a9
SLC17A1	Slc17a1
SLC17A2	Slc17a2
SLC17A3	Slc17a3
SLC17A4	Slc17a4
SLC17A5	Slc17a5
SLC17A6	Slc17a6
SLC17A7	Slc17a7
SLC17A8	Slc17a8
SLC17A9	Slc17a9
SLC18A1	Slc18a1
SLC18A2	Slc18a2
SLC19A1	Slc19a1
SLC19A2	Slc19a2
SLC19A3	Slc19a3
SLC1A1	Slc1a1
SLC1A2	Slc1a2
SLC1A3	Slc1a3
SLC1A4	Slc1a4
SLC1A5	Slc1a5
SLC1A6	Slc1a6
SLC1A7	Slc1a7
SLC20A1	Slc20a1
SLC20A2	Slc20a2
SLC22A1	Slc22a1
SLC22A12	Slc22a12
SLC22A13	Slc22a13
SLC22A14	Slc22a14
SLC22A15	Slc22a15
SLC22A16	Slc22a16
SLC22A17	Slc22a17
SLC22A18	Slc22a18
SLC22A2	Slc22a2
SLC22A23	Slc22a23
SLC22A3	Slc22a3
SLC22A4	Slc22a4
SLC22A6	Slc22a6
SLC22A7	Slc22a7
SLC22A8	Slc22a8
SLC23A1	Slc23a1
SLC23A2	Slc23a2
SLC23A3	Slc23a3
SLC24A1	Slc24a1
SLC24A2	Slc24a2
SLC24A3	Slc24a3
SLC24A4	Slc24a4
SLC24A5	Slc24a5
SLC24A6	Slc24a6
SLC25A1	Slc25a1
SLC25A10	Slc25a10
SLC25A11	Slc25a11
SLC25A12	Slc25a12
SLC25A13	Slc25a13
SLC25A14	Slc25a14
SLC25A15	Slc25a15
SLC25A16	Slc25a16
SLC25A17	Slc25a17
SLC25A18	Slc25a18
SLC25A19	Slc25a19
SLC25A2	Slc25a2
SLC25A20	Slc25a20
SLC25A21	Slc25a21
SLC25A22	Slc25a22
SLC25A23	Slc25a23
SLC25A24	Slc25a24
SLC25A25	Slc25a25
SLC25A26	Slc25a26
SLC25A27	Slc25a27
SLC25A28	Slc25a28
SLC25A29	Slc25a29
SLC25A3	Slc25a3
SLC25A30	Slc25a30
SLC25A31	Slc25a31
SLC25A32	Slc25a32
SLC25A33	Slc25a33
SLC25A34	Slc25a34
SLC25A35	Slc25a35
SLC25A36	Slc25a36
SLC25A37	Slc25a37
SLC25A38	Slc25a38
SLC25A39	Slc25a39
SLC25A4	Slc25a4
SLC25A40	Slc25a40
SLC25A41	Slc25a41
SLC25A42	Slc25a42
SLC25A43	Slc25a43
SLC25A44	Slc25a44
SLC25A45	Slc25a45
SLC25A46	Slc25a46
SLC25A47	Slc25a47
SLC25A48	Slc25a48
SLC26A1	Slc26a1
SLC26A10	Slc26a10
SLC26A11	Slc26a11
SLC26A2	Slc26a2
SLC26A3	Slc26a3
SLC26A4	Slc26a4
SLC26A5	Slc26a5
SLC26A6	Slc26a6
SLC26A7	Slc26a7
SLC26A8	Slc26a8
SLC26A9	Slc26a9
SLC27A1	Slc27a1
SLC27A2	Slc27a2
SLC27A3	Slc27a3
SLC27A4	Slc27a4
SLC27A5	Slc27a5
SLC27A6	Slc27a6
SLC28A1	Slc28a1
SLC28A3	Slc28a3
SLC29A1	Slc29a1
SLC29A2	Slc29a2
SLC29A3	Slc29a3
SLC29A4	Slc29a4
SLC2A1	Slc2a1
SLC2A10	Slc2a10
SLC2A12	Slc2a12
SLC2A13	Slc2a13
SLC2A2	Slc2a2
SLC2A4	Slc2a4
SLC2A5	Slc2a5
SLC2A6	Slc2a6
SLC2A7	Slc2a7
SLC2A8	Slc2a8
SLC2A9	Slc2a9
SLC30A1	Slc30a1
SLC30A10	Slc30a10
SLC30A2	Slc30a2
SLC30A3	Slc30a3
SLC30A4	Slc30a4
SLC30A5	Slc30a5
SLC30A6	Slc30a6
SLC30A7	Slc30a7
SLC30A8	Slc30a8
SLC30A9	Slc30a9
SLC31A1	Slc31a1
SLC31A2	Slc31a2
SLC32A1	Slc32a1
SLC33A1	Slc33a1
SLC34A1	Slc34a1
SLC34A2	Slc34a2
SLC34A3	Slc34a3
SLC35A1	Slc35a1
SLC35A2	Slc35a2
SLC35A3	Slc35a3
SLC35A4	Slc35a4
SLC35A5	Slc35a5
SLC35B1	Slc35b1
SLC35B2	Slc35b2
SLC35B3	Slc35b3
SLC35B4	Slc35b4
SLC35C1	Slc35c1
SLC35C2	Slc35c2
SLC35D1	Slc35d1
SLC35D2	Slc35d2
SLC35D3	Slc35d3
SLC35E1	Slc35e1
SLC35E3	Slc35e3
SLC35E4	Slc35e4
SLC35F1	Slc35f1
SLC35F2	Slc35f2
SLC35F3	Slc35f3
SLC35F4	Slc35f4
SLC35F5	Slc35f5
SLC36A1	Slc36a1
SLC36A2	Slc36a2
SLC36A3	Slc36a3
SLC36A4	Slc36a4
SLC37A1	Slc37a1
SLC37A2	Slc37a2
SLC37A3	Slc37a3
SLC38A1	Slc38a1
SLC38A10	Slc38a10
SLC38A11	Slc38a11
SLC38A2	Slc38a2
SLC38A4	Slc38a4
SLC38A5	Slc38a5
SLC38A6	Slc38a6
SLC38A7	Slc38a7
SLC38A8	Slc38a8
SLC38A9	Slc38a9
SLC39A1	Slc39a1
SLC39A10	Slc39a10
SLC39A11	Slc39a11
SLC39A12	Slc39a12
SLC39A13	Slc39a13
SLC39A14	Slc39a14
SLC39A2	Slc39a2
SLC39A3	Slc39a3
SLC39A4	Slc39a4
SLC39A5	Slc39a5
SLC39A6	Slc39a6
SLC39A7	Slc39a7
SLC39A8	Slc39a8
SLC39A9	Slc39a9
SLC3A1	Slc3a1
SLC3A2	Slc3a2
SLC40A1	Slc40a1
SLC41A1	Slc41a1
SLC41A2	Slc41a2
SLC41A3	Slc41a3
SLC43A1	Slc43a1
SLC43A2	Slc43a2
SLC43A3	Slc43a3
SLC44A1	Slc44a1
SLC44A2	Slc44a2
SLC44A3	Slc44a3
SLC44A4	Slc44a4
SLC44A5	Slc44a5
SLC45A1	Slc45a1
SLC45A2	Slc45a2
SLC45A3	Slc45a3
SLC45A4	Slc45a4
SLC46A1	Slc46a1
SLC46A2	Slc46a2
SLC46A3	Slc46a3
SLC47A1	Slc47a1
SLC47A2	Slc47a2
SLC48A1	Slc48a1
SLC4A1	Slc4a1
SLC4A10	Slc4a10
SLC4A11	Slc4a11
SLC4A1AP	Slc4a1ap
SLC4A2	Slc4a2
SLC4A3	Slc4a3
SLC4A4	Slc4a4
SLC4A5	Slc4a5
SLC4A7	Slc4a7
SLC4A8	Slc4a8
SLC4A9	Slc4a9
SLC5A1	Slc5a1
SLC5A10	Slc5a10
SLC5A11	Slc5a11
SLC5A12	Slc5a12
SLC5A2	Slc5a2
SLC5A3	Slc5a3
SLC5A4	Slc5a4a
SLC5A5	Slc5a5
SLC5A6	Slc5a6
SLC5A7	Slc5a7
SLC5A8	Slc5a8
SLC5A9	Slc5a9
SLC6A1	Slc6a1
SLC6A11	Slc6a11
SLC6A12	Slc6a12
SLC6A13	Slc6a13
SLC6A14	Slc6a14
SLC6A15	Slc6a15
SLC6A17	Slc6a17
SLC6A18	Slc6a18
SLC6A19	Slc6a19
SLC6A2	Slc6a2
SLC6A20	Slc6a20a
SLC6A3	Slc6a3
SLC6A4	Slc6a4
SLC6A5	Slc6a5
SLC6A6	Slc6a6
SLC6A7	Slc6a7
SLC6A9	Slc6a9
SLC7A1	Slc7a1
SLC7A10	Slc7a10
SLC7A11	Slc7a11
SLC7A13	Slc7a13
SLC7A14	Slc7a14
SLC7A2	Slc7a2
SLC7A4	Slc7a4
SLC7A6	Slc7a6
SLC7A6OS	Slc7a6os
SLC7A7	Slc7a7
SLC7A8	Slc7a8
SLC7A9	Slc7a9
SLC8A1	Slc8a1
SLC8A2	Slc8a2
SLC8A3	Slc8a3
SLC9A1	Slc9a1
SLC9A2	Slc9a2
SLC9A3	Slc9a3
SLC9A3R1	Slc9a3r1
SLC9A3R2	Slc9a3r2
SLC9A4	Slc9a4
SLC9A5	Slc9a5
SLC9A6	Slc9a6
SLC9A8	Slc9a8
SLC9A9	Slc9a9
SLCO1C1	Slco1c1
SLCO2A1	Slco2a1
SLCO2B1	Slco2b1
SLCO3A1	Slco3a1
SLCO4A1	Slco4a1
SLCO4C1	Slco4c1
SLCO5A1	Slco5a1
SLFN5	Slfn5
SLFNL1	Slfnl1
SLIT1	Slit1
SLIT2	Slit2
SLIT3	Slit3
SLITRK1	Slitrk1
SLITRK2	Slitrk2
SLITRK3	Slitrk3
SLITRK4	Slitrk4
SLITRK5	Slitrk5
SLITRK6	Slitrk6
SLK	Slk
SLMAP	Slmap
SLMO1	Slmo1
SLMO2	Slmo2
SLPI	Slpi
SLTM	Sltm
SLU7	Slu7
SLURP1	Slurp1
SLX4	Btbd12
SMAD1	Smad1
SMAD2	Smad2
SMAD3	Smad3
SMAD4	Smad4
SMAD6	Smad6
SMAD7	Smad7
SMAD9	Smad9
SMAGP	Smagp
SMAP1	Smap1
SMAP2	Smap2
SMARCA1	Smarca1
SMARCA2	Smarca2
SMARCA4	Smarca4
SMARCA5	Smarca5
SMARCAD1	Smarcad1
SMARCAL1	Smarcal1
SMARCB1	Smarcb1
SMARCC1	Smarcc1
SMARCC2	Smarcc2
SMARCD1	Smarcd1
SMARCD2	Smarcd2
SMARCD3	Smarcd3
SMARCE1	Smarce1
SMC1A	Smc1a
SMC1B	Smc1b
SMC2	Smc2
SMC3	Smc3
SMC4	Smc4
SMC5	Smc5
SMC6	Smc6
SMCHD1	Smchd1
SMCP	Smcp
SMCR7	Smcr7
SMCR7L	Smcr7l
SMCR8	Smcr8
SMEK1	Smek1
SMG5	Smg5
SMG6	Smg6
SMG7	Smg7
SMNDC1	Smndc1
SMO	Smo
SMOC1	Smoc1
SMOC2	Smoc2
SMOX	Smox
SMPD1	Smpd1
SMPD2	Smpd2
SMPD3	Smpd3
SMPD4	Smpd4
SMPDL3A	Smpdl3a
SMPDL3B	Smpdl3b
SMPX	Smpx
SMS	Sms
SMTN	Smtn
SMTNL1	Smtnl1
SMTNL2	Smtnl2
SMU1	Smu1
SMUG1	Smug1
SMURF1	Smurf1
SMURF2	Smurf2
SMYD1	Smyd1
SMYD2	Smyd2
SMYD3	Smyd3
SMYD4	Smyd4
SMYD5	Smyd5
SNAI1	Snai1
SNAI2	Snai2
SNAI3	Snai3
SNAP23	Snap23
SNAP25	Snap25
SNAP29	Snap29
SNAP47	Snap47
SNAP91	Snap91
SNAPC1	Snapc1
SNAPC2	Snapc2
SNAPC3	Snapc3
SNAPC4	Snapc4
SNAPC5	Snapc5
SNAPIN	Snapin
SNCA	Snca
SNCAIP	Sncaip
SNCB	Sncb
SNCG	Sncg
SND1	Snd1
SNED1	Sned1
SNF8	Snf8
SNIP1	Snip1
SNN	Snn
SNPH	Snph
SNRK	Snrk
SNRNP200	Snrnp200
SNRNP25	Snrnp25
SNRNP27	Snrnp27
SNRNP40	Snrnp40
SNRNP48	Snrnp48
SNRNP70	Snrnp70
SNRPA1	Snrpa1
SNRPB2	Snrpb2
SNRPC	Snrpc
SNRPD1	Snrpd1
SNRPD3	Snrpd3
SNRPG	Snrpg
SNRPN	Snrpn
SNTA1	Snta1
SNTB1	Sntb1
SNTB2	Sntb2
SNTG1	Sntg1
SNTG2	Sntg2
SNTN	Sntn
SNUPN	Snupn
SNW1	Snw1
SNX1	Snx1
SNX10	Snx10
SNX11	Snx11
SNX12	Snx12
SNX13	Snx13
SNX14	Snx14
SNX16	Snx16
SNX17	Snx17
SNX18	Snx18
SNX19	Snx19
SNX2	Snx2
SNX20	Snx20
SNX21	Snx21
SNX22	Snx22
SNX24	Snx24
SNX25	Snx25
SNX27	Snx27
SNX29	Snx29
SNX3	Snx3
SNX30	Snx30
SNX31	Snx31
SNX32	Snx32
SNX33	Snx33
SNX4	Snx4
SNX5	Snx5
SNX6	Snx6
SNX7	Snx7
SNX8	Snx8
SNX9	Snx9
SOAT1	Soat1
SOAT2	Soat2
SOBP	Sobp
SOCS1	Socs1
SOCS3	Socs3
SOCS4	Socs4
SOCS5	Socs5
SOCS6	Socs6
SOCS7	Socs7
SOD1	Sod1
SOD2	Sod2
SOD3	Sod3
SOHLH1	Sohlh1
SOLH	Solh
SON	Son
SORBS3	Sorbs3
SORCS1	Sorcs1
SORCS2	Sorcs2
SORCS3	Sorcs3
SORD	Sord
SORL1	Sorl1
SORT1	Sort1
SOS1	Sos1
SOS2	Sos2
SOST	Sost
SOSTDC1	Sostdc1
SOX10	Sox10
SOX11	Sox11
SOX12	Sox12
SOX13	Sox13
SOX14	Sox14
SOX15	Sox15
SOX17	Sox17
SOX18	Sox18
SOX2	Sox2
SOX21	Sox21
SOX3	Sox3
SOX30	Sox30
SOX4	Sox4
SOX5	Sox5
SOX6	Sox6
SOX8	Sox8
SOX9	Sox9
SP1	Sp1
SP2	Sp2
SP3	Sp3
SP4	Sp4
SP5	Sp5
SP6	Sp6
SP7	Sp7
SP8	Sp8
SP9	Sp9
SPA17	Spa17
SPACA1	Spaca1
SPACA3	Spaca3
SPACA4	Spaca4
SPAG1	Spag1
SPAG11A	Spag11b
SPAG11B	Spag11a
SPAG16	Spag16
SPAG4	Spag4
SPAG5	Spag5
SPAG7	Spag7
SPAG8	Spag8
SPAG9	Spag9
SPARC	Sparc
SPARCL1	Sparcl1
SPAST	Spast
SPATA1	Spata1
SPATA13	Spata13
SPATA16	Spata16
SPATA17	Spata17
SPATA18	Spata18
SPATA19	Spata19
SPATA2	Spata2
SPATA20	Spata20
SPATA21	Spata21
SPATA22	Spata22
SPATA24	Spata24
SPATA2L	Spata2L
SPATA3	Spata3
SPATA4	Spata4
SPATA5	Spata5
SPATA6	Spata6
SPATA7	Spata7
SPATA9	Spata9
SPATC1	Spatc1
SPATS1	Spats1
SPATS2	Spats2
SPATS2L	Spats2l
SPC24	Spc24
SPC25	Spc25
SPCS1	Spcs1
SPCS2	Spcs2
SPDEF	Spdef
SPDYA	Spdya
SPECC1	Specc1
SPECC1L	Specc1l
SPEF1	Spef1
SPEF2	Spef2
SPEG	Speg
SPEM1	Spem1
SPEN	Spen
SPERT	Spert
SPG11	Spg11
SPG20	Spg20
SPG21	Spg21
SPG7	Spg7
SPHK1	Sphk1
SPHK2	Sphk2
SPHKAP	Sphkap
SPI1	Sfpi1
SPIB	Spib
SPIC	Spic
SPICE1	Ccdc52
SPIN1	Spin1
SPIN4	Spin4
SPINK1	Spink3
SPINK13	Spink13
SPINK14	Spink14
SPINK2	Spink2
SPINK4	Spink4
SPINK5	Spink5
SPINK6	Spink6
SPINK7	Spink7
SPINK8	Spink8
SPINK9	Spink12
SPINT1	Spint1
SPINT2	Spint2
SPINT3	Spint3
SPINT4	Spint4
SPIRE1	Spire1
SPIRE2	Spire2
SPN	Spn
SPNS1	Spns1
SPNS2	Spns2
SPNS3	Spns3
SPO11	Spo11
SPOCK1	Spock1
SPOCK2	Spock2
SPOCK3	Spock3
SPON1	Spon1
SPON2	Spon2
SPOP	Spop
SPOPL	Spopl
SPP1	Spp1
SPP2	Spp2
SPRED1	Spred1
SPRED2	Spred2
SPRED3	Spred3
SPRN	Sprn
SPRR3	Sprr3
SPRR4	Sprr4
SPRY1	Spry1
SPRY2	Spry2
SPRY3	Spry3
SPRY4	Spry4
SPRYD3	Spryd3
SPRYD4	Spryd4
SPSB1	Spsb1
SPSB2	Spsb2
SPSB3	Spsb3
SPSB4	Spsb4
SPTA1	Spna1
SPTAN1	Spna2
SPTB	Spnb1
SPTBN1	Spnb2
SPTBN2	Spnb3
SPTBN4	Spnb4
SPTLC1	Sptlc1
SPTLC2	Sptlc2
SPTLC3	Sptlc3
SPTY2D1	Spty2d1
SPZ1	Spz1
SQLE	Sqle
SQRDL	Sqrdl
SQSTM1	Sqstm1
SRA1	Sra1
SRBD1	Srbd1
SRC	Src
SRCIN1	Srcin1
SRCRB4D	Srcrb4d
SRD5A1	Srd5a1
SREBF1	Srebf1
SREBF2	Srebf2
SREK1IP1	Srek1ip1
SRF	Srf
SRFBP1	Srfbp1
SRGAP1	Srgap1
SRGAP2	Srgap2
SRGAP3	Srgap3
SRGN	Srgn
SRI	Sri
SRL	Srl
SRM	Srm
SRMS	Srms
SRP14	Srp14
SRP19	Srp19
SRP68	Srp68
SRP72	Srp72
SRP9	Srp9
SRPK1	Srpk1
SRPK2	Srpk2
SRPK3	Srpk3
SRPR	Srpr
SRPRB	Srprb
SRPX	Srpx
SRPX2	Srpx2
SRR	Srr
SRRD	Srrd
SRRM1	Srrm1
SRRM2	Srrm2
SRRM3	Srrm3
SRRM4	Srrm4
SRRT	Srrt
SRSF1	Srsf1
SRSF10	Srsf10
SRSF11	Srsf11
SRSF12	Srsf12
SRSF2	Srsf2
SRSF4	Srsf4
SRSF5	Srsf5
SRSF6	Srsf6
SRSF7	Srsf7
SRSF9	Srsf9
SRXN1	Srxn1
SS18	Ss18
SS18L1	Ss18l1
SS18L2	Deb1
SSB	Ssb
SSBP1	Ssbp1
SSBP2	Ssbp2
SSBP3	Ssbp3
SSFA2	Ssfa2
SSH1	Ssh1
SSH2	Ssh2
SSH3	Ssh3
SSNA1	Ssna1
SSPN	Sspn
SSR1	Ssr1
SSR2	Ssr2
SSR3	Ssr3
SSR4	Ssr4
SSRP1	Ssrp1
SSSCA1	Sssca1
SST	Sst
SSTR1	Sstr1
SSTR2	Sstr2
SSTR3	Sstr3
SSTR4	Sstr4
SSTR5	Sstr5
SSU72	Ssu72
SSX2IP	Ssx2ip
ST13	St13
ST14	St14
ST18	St18
ST3GAL1	St3gal1
ST3GAL2	St3gal2
